variant,length_penalty_alpha,prompt_index,prompt_preview,steps_total,finished_pool_size,words_scored,kvl_beam_running_mean,response_time_seconds,response_chars,hit_max_tokens,response_preview
baseline,0.0,0,What does the word 'library' mean?,200,0,34,3.2093205882352946,70.4,735,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| The Simplest Answer A library is a"
baseline,0.0,1,How do I introduce myself in English?,200,0,66,2.8295257575757566,71.8,571,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name] a"
always_stop,0.0,0,What does the word 'library' mean?,200,4782,34,3.2093205882352946,71.8,735,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| The Simplest Answer A library is a"
always_stop,0.0,1,How do I introduce myself in English?,200,4782,66,2.8295257575757566,106.5,571,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name] a"
length_penalty,0.15,0,What does the word 'library' mean?,200,0,34,3.2093205882352946,112.5,735,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| The Simplest Answer A library is a"
length_penalty,0.15,1,How do I introduce myself in English?,200,0,66,2.8295257575757566,101.6,571,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name] a"
prefer_finished,0.0,0,What does the word 'library' mean?,200,0,34,3.2093205882352946,93.3,735,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| The Simplest Answer A library is a"
prefer_finished,0.0,1,How do I introduce myself in English?,200,0,66,2.8295257575757566,90.9,571,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name] a"
stop_pref,0.0,0,What does the word 'library' mean?,200,4782,34,3.2093205882352946,79.4,599,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| The Simplest Answer A library is a"
stop_pref,0.0,1,How do I introduce myself in English?,200,4782,66,2.8295257575757566,77.3,568,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name] a"
max80,0.0,0,What does the word 'library' mean?,80,0,23,3.06284347826087,32.7,318,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| The Simplest Answer A library is a"
max80,0.0,1,How do I introduce myself in English?,80,0,35,2.5288828571428565,33.8,282,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name] a"
stop_length,0.15,0,What does the word 'library' mean?,200,4782,30,3.174243333333334,75.8,480,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| The Simplest Answer A library is a"
stop_length,0.15,1,How do I introduce myself in English?,200,4782,66,2.8295257575757566,76.9,568,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name] a"
stop_length,0.25,0,What does the word 'library' mean?,200,4782,14,3.0134714285714286,75.0,173,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| <|imend"
