model,prompt_index,prompt,response,response_time_seconds,steps_total,words_scored,kvl_beam_running_mean,generation_successful,hit_max_tokens,beam_width,branch_factor,kvl_l1
Phi3,0,What does the word 'library' mean?,"A library is a big room or a building where people go to find books and other things to read. It's a place to learn and have fun with stories. You can find all kinds of books there, from stories for children to big books for adults. Librarians work there to help you find the book you want. -------------------------",30.5,76,18,3.0179277777777775,True,False,4,10,es
Phi3,1,How do I introduce myself in English?,"To introduce yourself in English, you start with ""Hello, my name is..."" followed by your name. Then, you can add some things about yourself. For example, ""Hello, my name is Maria. I am from Spain and I love to dance."" This is how you can introduce yourself in English. It's a good idea to practice a few times so you can do it well.",35.1,82,24,2.7083125,True,False,4,10,es
Phi3,2,Can you explain what 'breakfast' is?,"Breakfast is a morning meal that people eat after waking up. It is the first food people eat in the day. Breakfast helps give people energy for the day's activities. Some people eat bread with butter, cereal, or fruit. Others might have eggs, milk, or pancakes. It's a time to eat and enjoy some yummy foods.",36.8,84,27,2.990677777777778,True,False,4,10,es
Qwen2,0,What does the word 'library' mean?,Library in English means a place where people can find books and other materials to learn and read. It's a big building with shelves where you can find books and other materials to learn and read.,21.1,44,13,3.1900692307692307,True,False,4,10,es
Qwen2,1,How do I introduce myself in English?,"Hello! If you're a new English language student, introducing yourself in English can be a fun and straightforward task. First, you'll want to know how to introduce yourself in English. Here are some tips: 1. Use ""Hello, my name is [Name]"": This is a simple and easy-to-use way to introduce yourself in English. 2. Use ""Hello, my name is [Name] and I am [Age] years old"": This is a more formal and more descriptive way to introduce yourself. 3. Use ""Hello, my name is [Name] and I am [Age] years old, and I have been [Number] year old [Date] old]"": This is an even more descriptive and formal way to introduce yourself. 4. In some cases, you might want to use ""Hello, my name is [Name] and I am [Age] years old and I have been [Number] year old [Date] old]",114.3,200,70,2.6568342857142855,True,True,4,10,es
Qwen2,2,Can you explain what 'breakfast' is?,"Breakfast is one of the meals of the day. It's the first of three meals of the day, which are lunch and dinner. It's when you eat your first meals of the day. It's when you eat your breakfasts of the day. It's one of the three meals of the day. It's when you eat breakfasts of the day. It's one of the meals of the day. It's one of the three meals of the day. It's one of the three meals of the day. |imend|",72.6,111,27,3.8970555555555557,True,False,4,10,es
Qwen3,0,What does the word 'library' mean?,A library is where you learn and read.,2.3,10,2,3.10985,True,False,4,10,es
Qwen3,1,How do I introduce myself in English?,Hello! How are you today? I'm a young English teacher who loves to help you learn. How can I help you?,7.4,27,8,3.36915,True,False,4,10,es
Qwen3,2,Can you explain what 'breakfast' is?,"Breakfast is when you eat your food at lunch. So, if you're a child, you might eat at lunch.",8.1,26,7,3.3253999999999997,True,False,4,10,es
TinyLlama,0,What does the word 'library' mean?,A library.,1.5,5,1,2.9973,True,False,4,10,es
TinyLlama,1,How do I introduce myself in English?,"In English, it's called ""Hello!""",4.7,12,2,3.39245,True,False,4,10,es
TinyLlama,2,Can you explain what 'breakfast' is?,"Yes, I can! In English, 'breakfast' is the first or second meal of the day consumed by adults and children. It is often eaten between around 6:00 am and 10:00 am, and consists of foods such as bread, cereal, milk, fruit, yogurt, and eggs. For beginners, it's a good start!",64.0,93,15,3.012286666666667,True,False,4,10,es
